category_id,id,group_name,category_name,category_description,count
math.CO,34173,Mathematics,Combinatorics,"Discrete mathematics, graph theory, enumeration, combinatorial optimization, Ramsey theory, combinatorial game theory",34173
cs.LG,33916,Computer Science,Machine Learning,"Papers on all aspects of machine learning research (supervised, unsupervised, reinforcement learning, bandit problems, and so on) including also robustness, explanation, fairness, and methodology. cs.LG is also an appropriate primary category for applications of machine learning methods.",33916
math.AP,33823,Mathematics,Analysis of PDEs,"Existence and uniqueness, boundary conditions, linear and non-linear operators, stability, soliton theory, integrable PDE's, conservation laws, qualitative dynamics",33823
astro-ph.SR,31899,Physics,Solar and Stellar Astrophysics,"White dwarfs, brown dwarfs, cataclysmic variables. Star formation and protostellar systems, stellar astrobiology, binary and multiple systems of stars, stellar evolution and structure, coronas. Central stars of planetary nebulae. Helioseismology, solar neutrinos, production and detection of gravitational radiation from stellar systems",31899
astro-ph.CO,30813,Physics,Cosmology and Nongalactic Astrophysics,"Phenomenology of early universe, cosmic microwave background, cosmological parameters, primordial element abundances, extragalactic distance scale, large-scale structure of the universe. Groups, superclusters, voids, intergalactic medium. Particle astrophysics: dark energy, dark matter, baryogenesis, leptogenesis, inflationary models, reheating, monopoles, WIMPs, cosmic strings, primordial black holes, cosmological gravitational radiation",30813
math.PR,30481,Mathematics,Probability,"Theory and applications of probability and stochastic processes: e.g. central limit theorems, large deviations, stochastic differential equations, models from statistical mechanics, queuing theory",30481
math.AG,29756,Mathematics,Algebraic Geometry,"Algebraic varieties, stacks, sheaves, schemes, moduli spaces, complex geometry, quantum cohomology",29756
astro-ph.GA,29496,Physics,Astrophysics of Galaxies,"Phenomena pertaining to galaxies or the Milky Way. Star clusters, HII regions and planetary nebulae, the interstellar medium, atomic and molecular clouds, dust. Stellar populations. Galactic structure, formation, dynamics. Galactic nuclei, bulges, disks, halo. Active Galactic Nuclei, supermassive black holes, quasars. Gravitational lens systems. The Milky Way and its contents",29496
math.IT,29019,Mathematics,Information Theory,math.IT is an alias for cs.IT. Covers theoretical and experimental aspects of information theory and coding.,29019
nucl-th,28654,Physics,Nuclear Theory,Description coming soon,28654
cs.IT,28488,Computer Science,Information Theory,Covers theoretical and experimental aspects of information theory and coding. Includes material in ACM Subject Class E.4 and intersects with H.1.1.,28488
cond-mat.supr-con,25939,Physics,Superconductivity,"Superconductivity: theory, models, experiment.  Superflow in helium",25939
astro-ph.HE,25911,Physics,High Energy Astrophysical Phenomena,"Cosmic ray production, acceleration, propagation, detection. Gamma ray astronomy and bursts, X-rays, charged particles, supernovae and other explosive phenomena, stellar remnants and accretion systems, jets, microquasars, neutron stars, pulsars, black holes",25911
math.DG,24649,Mathematics,Differential Geometry,"Complex, contact, Riemannian, pseudo-Riemannian and Finsler geometry, relativity, gauge theory, global analysis",24649
math.NT,22559,Mathematics,Number Theory,"Prime numbers, diophantine equations, analytic number theory, algebraic number theory, arithmetic geometry, Galois theory",22559
math.OC,21650,Mathematics,Optimization and Control,"Operations research, linear programming, control theory, systems theory, optimal control, game theory",21650
cond-mat.soft,21330,Physics,Soft Condensed Matter,"Membranes, polymers, liquid crystals, glasses, colloids, granular matter",21330
hep-ex,19509,Physics,High Energy Physics - Experiment,Description coming soon,19509
physics.optics,18854,Physics,Optics,Adaptive optics. Astronomical optics. Atmospheric optics. Biomedical optics. Cardinal points. Collimation. Doppler effect. Fiber optics. Fourier optics. Geometrical optics (Gradient index optics. Holography. Infrared optics. Integrated optics. Laser applications. Laser optical systems. Lasers. Light amplification. Light diffraction. Luminescence. Microoptics. Nano optics. Ocean optics. Optical computing. Optical devices. Optical imaging. Optical materials. Optical metrology. Optical microscopy. Optical properties. Optical signal processing. Optical testing techniques. Optical wave propagation. Paraxial optics. Photoabsorption. Photoexcitations. Physical optics. Physiological optics. Quantum optics. Segmented optics. Spectra. Statistical optics. Surface optics. Ultrafast optics. Wave optics. X-ray optics.,18854
math.DS,18555,Mathematics,Dynamical Systems,"Dynamics of differential equations and flows, mechanics, classical few-body problems, iterations, complex dynamics, delayed differential equations",18555
math.NA,17697,Mathematics,Numerical Analysis,"Numerical algorithms for problems in analysis and algebra, scientific computation",17697
hep-lat,15821,Physics,High Energy Physics - Lattice,Lattice field theory. Phenomenology from lattice field theory. Algorithms for lattice field theory.  Hardware for lattice field theory.,15821
cs.CL,15010,Computer Science,Computation and Language,"Covers natural language processing. Roughly includes material in ACM Subject Class I.2.7. Note that work on artificial languages (programming languages, logics, formal systems) that does not explicitly address natural-language issues broadly construed (natural-language processing, computational linguistics, speech, text retrieval, etc.) is not appropriate for this area.",15010
math.FA,14861,Mathematics,Functional Analysis,"Banach spaces, function spaces, real functions, integral transforms, theory of distributions, measure theory",14861
astro-ph.EP,14056,Physics,Earth and Planetary Astrophysics,"Interplanetary medium, planetary physics, planetary astrobiology, extrasolar planets, comets, asteroids, meteorites. Structure and formation of the solar system",14056
cond-mat,13649,,,,13649
physics.soc-ph,12875,Physics,Physics and Society,"Structure, dynamics and collective behavior of societies and groups (human or otherwise). Quantitative analysis of social networks and other complex networks. Physics and engineering of infrastructure and systems of broad societal impact (e.g., energy grids, transportation networks).",12875
math.CA,12341,Mathematics,Classical Analysis and ODEs,"Special functions, orthogonal polynomials, harmonic analysis, ODE's, differential relations, calculus of variations, approximations, expansions, asymptotics",12341
math.ST,12311,Mathematics,Statistics Theory,"Applied, computational and theoretical statistics: e.g. statistical inference, regression, time series, multivariate analysis, data analysis, Markov chain Monte Carlo, design of experiments, case studies",12311
astro-ph.IM,12113,Physics,Instrumentation and Methods for Astrophysics,"Detector and telescope design, experiment proposals. Laboratory Astrophysics. Methods for data analysis, statistical methods. Software, database design",12113
math.GT,12085,Mathematics,Geometric Topology,"Manifolds, orbifolds, polyhedra, cell complexes, foliations, geometric structures",12085
cs.AI,11903,Computer Science,Artificial Intelligence,"Covers all areas of AI except Vision, Robotics, Machine Learning, Multiagent Systems, and Computation and Language (Natural Language Processing), which have separate subject areas. In particular, includes Expert Systems, Theorem Proving (although this may overlap with Logic in Computer Science), Knowledge Representation, Planning, and Uncertainty in AI. Roughly includes material in ACM Subject Classes I.2.0, I.2.1, I.2.3, I.2.4, I.2.8, and I.2.11.",11903
stat.ME,11326,Statistics,Methodology,"Design, Surveys, Model Selection, Multiple Testing, Multivariate Methods, Signal and Image Processing, Time Series, Smoothing, Spatial Statistics, Survival Analysis, Nonparametric and Semiparametric Methods",11326
math.RT,11231,Mathematics,Representation Theory,"Linear representations of algebras and groups, Lie theory, associative algebras, multilinear algebra",11231
physics.flu-dyn,11072,Physics,Fluid Dynamics,"Turbulence, instabilities, incompressible/compressible flows, reacting flows. Aero/hydrodynamics, fluid-structure interactions, acoustics. Biological fluid dynamics, micro/nanofluidics, interfacial phenomena. Complex fluids, suspensions and granular flows, porous media flows. Geophysical flows, thermoconvective and stratified flows. Mathematical and computational methods for fluid dynamics, fluid flow models, experimental techniques.",11072
cs.DS,10799,Computer Science,Data Structures and Algorithms,"Covers data structures and analysis of algorithms. Roughly includes material in ACM Subject Classes E.1, E.2, F.2.1, and F.2.2.",10799
stat.TH,10611,Statistics,Statistics Theory,"stat.TH is an alias for math.ST. Asymptotics, Bayesian Inference, Decision Theory, Estimation, Foundations, Inference, Testing.",10611
cond-mat.dis-nn,10477,Physics,Disordered Systems and Neural Networks,"Glasses and spin glasses; properties of random, aperiodic and quasiperiodic systems; transport in disordered media; localization; phenomena mediated by defects and disorder; neural networks",10477
cs.NI,10469,Computer Science,Networking and Internet Architecture,"Covers all aspects of computer communication networks, including network architecture and design, network protocols, and internetwork standards (like TCP/IP). Also includes topics, such as web caching, that are directly relevant to Internet architecture and performance. Roughly includes all of ACM Subject Class C.2 except C.2.4, which is more likely to have Distributed, Parallel, and Cluster Computing as the primary subject area.",10469
math.GR,10443,Mathematics,Group Theory,"Finite groups, topological groups, representation theory, cohomology, classification and structure",10443
cs.CR,10312,Computer Science,Cryptography and Security,"Covers all areas of cryptography and security including authentication, public key cryptosytems, proof-carrying code, etc. Roughly includes material in ACM Subject Classes D.4.6 and E.3.",10312
cond-mat.quant-gas,10150,Physics,Quantum Gases,"Ultracold atomic and molecular gases, Bose-Einstein condensation, Feshbach resonances, spinor condensates, optical lattices, quantum simulation with cold atoms and molecules, macroscopic interference phenomena",10150
physics.ins-det,9952,Physics,Instrumentation and Detectors,"Instrumentation and Detectors for research in natural science, including optical, molecular, atomic, nuclear and particle physics instrumentation and the associated electronics, services, infrastructure and control equipment. ",9952
math.QA,9785,Mathematics,Quantum Algebra,"Quantum groups, skein theories, operadic and diagrammatic algebra, quantum field theory",9785
nucl-ex,9703,Physics,Nuclear Experiment,Description coming soon,9703
physics.atom-ph,9630,Physics,Atomic Physics,"Atomic and molecular structure, spectra, collisions, and data. Atoms and molecules in external fields. Molecular dynamics and coherent and optical control. Cold atoms and molecules. Cold collisions. Optical lattices.",9630
cs.SI,8500,Computer Science,Social and Information Networks,"Covers the design, analysis, and modeling of social and information networks, including their applications for on-line information access, communication, and interaction, and their roles as datasets in the exploration of questions in these and other domains, including connections to the social and biological sciences. Analysis and modeling of such networks includes topics in ACM Subject classes F.2, G.2, G.3, H.2, and I.2; applications in computing include topics in H.3, H.4, and H.5; and applications at the interface of computing and other disciplines include topics in J.1--J.7. Papers on computer communication systems and network protocols (e.g. TCP/IP) are generally a closer fit to the Networking and Internet Architecture (cs.NI) category.",8500
cs.SY,8496,Computer Science,Systems and Control,"cs.SY is an alias for eess.SY. This section includes theoretical and experimental research covering all facets of automatic control systems. The section is focused on methods of control system analysis and design using tools of modeling, simulation and optimization. Specific areas of research include nonlinear, distributed, adaptive, stochastic and robust control in addition to hybrid and discrete event systems. Application areas include automotive and aerospace control systems, network control, biological systems, multiagent and cooperative control, robotics, reinforcement learning, sensor networks, control of cyber-physical and energy-related systems, and control of computing systems.",8496
nlin.CD,8322,Physics,Chaotic Dynamics,"dynamical systems, chaos, quantum chaos, topological dynamics, cycle expansions, turbulence, propagation",8322
stat.AP,8186,Statistics,Applications,"Biology, Education, Epidemiology, Engineering, Environmental Sciences, Medical, Physical Sciences, Quality Control, Social Sciences",8186
cs.DC,7988,Computer Science,"Distributed, Parallel, and Cluster Computing","Covers fault-tolerance, distributed algorithms, stabilility, parallel computation, and cluster computing. Roughly includes material in ACM Subject Classes C.1.2, C.1.4, C.2.4, D.1.3, D.4.5, D.4.7, E.1.",7988
math.RA,7957,Mathematics,Rings and Algebras,"Non-commutative rings and algebras, non-associative algebras, universal algebra and lattice theory, linear algebra, semigroups",7957
math.CV,7942,Mathematics,Complex Variables,"Holomorphic functions, automorphic group actions and forms, pseudoconvexity, complex geometry, analytic spaces, analytic sheaves",7942
physics.gen-ph,7868,Physics,General Physics,Description coming soon,7868
eess.SP,7625,Electrical Engineering and Systems Science,Signal Processing,"Theory, algorithms, performance analysis and applications of signal and data analysis, including physical modeling, processing, detection and parameter estimation, learning, mining, retrieval, and information extraction. The term ""signal"" includes speech, audio, sonar, radar, geophysical, physiological, (bio-) medical, image, video, and multimodal natural and man-made signals, including communication signals and data. Topics of interest include: statistical signal processing, spectral estimation and system identification; filter design, adaptive filtering / stochastic learning; (compressive) sampling, sensing, and transform-domain methods including fast algorithms; signal processing for machine learning and machine learning for signal processing applications; in-network and graph signal processing; convex and nonconvex optimization methods for signal processing applications; radar, sonar, and sensor array beamforming and direction finding; communications signal processing; low power, multi-core and system-on-chip signal processing; sensing, communication, analysis and optimization for cyber-physical systems such as power grids and the Internet of Things.",7625
physics.plasm-ph,7619,Physics,Plasma Physics,"Fundamental plasma physics. Magnetically Confined Plasmas (includes magnetic fusion energy research). High Energy Density Plasmas (inertial confinement plasmas, laser-plasma interactions). Ionospheric, Heliophysical, and Astrophysical plasmas (includes sun and solar system plasmas). Lasers, Accelerators, and Radiation Generation. Low temperature plasmas and plasma applications (include dusty plasmas, semiconductor etching, plasma-based nanotechnology, medical applications). Plasma Diagnostics, Engineering and Enabling Technologies (includes fusion reactor design, heating systems, diagnostics, experimental techniques)",7619
cs.LO,7579,Computer Science,Logic in Computer Science,"Covers all aspects of logic in computer science, including finite model theory, logics of programs, modal logic, and program verification. Programming language semantics should have Programming Languages as the primary subject area. Roughly includes material in ACM Subject Classes D.2.4, F.3.1, F.4.0, F.4.1, and F.4.2; some material in F.4.3 (formal languages) may also be appropriate here, although Computational Complexity is typically the more appropriate subject area.",7579
math.LO,7453,Mathematics,Logic,"Logic, set theory, point-set topology, formal mathematics",7453
physics.chem-ph,7200,Physics,Chemical Physics,"Experimental, computational, and theoretical physics of atoms, molecules, and clusters - Classical and quantum description of states, processes, and dynamics; spectroscopy, electronic structure, conformations, reactions, interactions, and phases. Chemical thermodynamics. Disperse systems. High pressure chemistry. Solid state chemistry. Surface and interface chemistry.",7200
q-bio.PE,7012,Quantitative Biology,Populations and Evolution,"Population dynamics, spatio-temporal and epidemiological models, dynamic speciation, co-evolution, biodiversity, foodwebs, aging; molecular evolution and phylogeny; directed evolution; origin of life",7012
math.AT,6883,Mathematics,Algebraic Topology,"Homotopy theory, homological algebra, algebraic treatments of manifolds",6883
math.OA,6671,Mathematics,Operator Algebras,"Algebras of operators on Hilbert space, C^*-algebras, von Neumann algebras, non-commutative geometry",6671
cs.RO,6594,Computer Science,Robotics,Roughly includes material in ACM Subject Class I.2.9.,6594
cond-mat.other,6441,Physics,Other Condensed Matter,Work in condensed matter that does not fit into the other cond-mat classifications,6441
math.AC,6274,Mathematics,Commutative Algebra,"Commutative rings, modules, ideals, homological algebra, computational aspects, invariant theory, connections to algebraic geometry and combinatorics",6274
physics.comp-ph,6131,Physics,Computational Physics,All aspects of computational science applied to physics.,6131
cs.DM,5987,Computer Science,Discrete Mathematics,"Covers combinatorics, graph theory, applications of probability. Roughly includes material in ACM Subject Classes G.2 and G.3.",5987
physics.bio-ph,5946,Physics,Biological Physics,"Molecular biophysics, cellular biophysics, neurological biophysics, membrane biophysics, single-molecule biophysics, ecological biophysics, quantum phenomena in biological systems (quantum biophysics), theoretical biophysics, molecular dynamics/modeling and simulation, game theory, biomechanics, bioinformatics, microorganisms, virology, evolution, biophysical methods.",5946
q-bio.NC,5617,Quantitative Biology,Neurons and Cognition,"Synapse, cortex, neuronal dynamics, neural network, sensorimotor control, behavior, attention",5617
cs.SE,5536,Computer Science,Software Engineering,"Covers design tools, software metrics, testing and debugging, programming environments, etc. Roughly includes material in all of ACM Subject Classes D.2, except that D.2.4 (program verification) should probably have Logics in Computer Science as the primary subject area.",5536
nlin.SI,5197,Physics,Exactly Solvable and Integrable Systems,"exactly solvable systems, integrable PDEs, integrable ODEs, Painleve analysis, integrable discrete maps, solvable lattice models, integrable quantum systems",5197
eess.IV,5097,Electrical Engineering and Systems Science,Image and Video Processing,"Theory, algorithms, and architectures for the formation, capture, processing, communication, analysis, and display of images, video, and multidimensional signals in a wide variety of applications. Topics of interest include: mathematical, statistical, and perceptual image and video modeling and representation; linear and nonlinear filtering, de-blurring, enhancement, restoration, and reconstruction from degraded, low-resolution or tomographic data; lossless and lossy compression and coding; segmentation, alignment, and recognition; image rendering, visualization, and printing; computational imaging, including ultrasound, tomographic and magnetic resonance imaging; and image and video analysis, synthesis, storage, search and retrieval.",5097
cs.CC,5082,Computer Science,Computational Complexity,"Covers models of computation, complexity classes, structural complexity, complexity tradeoffs, upper and lower bounds. Roughly includes material in ACM Subject Classes F.1 (computation by abstract devices), F.2.3 (tradeoffs among complexity measures), and F.4.3 (formal languages), although some material in formal languages may be more appropriate for Logic in Computer Science. Some material in F.2.1 and F.2.2, may also be appropriate here, but is more likely to have Data Structures and Algorithms as the primary subject area.",5082
cs.CY,4949,Computer Science,Computers and Society,"Covers impact of computers on society, computer ethics, information technology and public policy, legal aspects of computing, computers and education. Roughly includes material in ACM Subject Classes K.0, K.2, K.3, K.4, K.5, and K.7.",4949
cs.NA,4896,Computer Science,Numerical Analysis,cs.NA is an alias for math.NA. Roughly includes material in ACM Subject Class G.1.,4896
cs.GT,4787,Computer Science,Computer Science and Game Theory,"Covers all theoretical and applied aspects at the intersection of computer science and game theory, including work in mechanism design, learning in games (which may overlap with Learning), foundations of agent modeling in games (which may overlap with Multiagent systems), coordination, specification and formal methods for non-cooperative computational environments. The area also deals with applications of game theory to areas such as electronic commerce.",4787
math.MG,4615,Mathematics,Metric Geometry,"Euclidean, hyperbolic, discrete, convex, coarse geometry, comparisons in Riemannian geometry, symmetric spaces",4615
physics.acc-ph,4611,Physics,Accelerator Physics,Accelerator theory and simulation. Accelerator technology. Accelerator experiments. Beam Physics. Accelerator design and optimization. Advanced accelerator concepts. Radiation sources including synchrotron light sources and free electron lasers. Applications of accelerators.,4611
physics.app-ph,4576,Physics,Applied Physics,"Applications of physics to new technology, including electronic devices, optics, photonics, microwaves, spintronics, advanced materials, metamaterials, nanotechnology, and energy sciences.",4576
q-bio.QM,4516,Quantitative Biology,Quantitative Methods,"All experimental, numerical, statistical and mathematical contributions of value to biology",4516
cs.IR,4131,Computer Science,Information Retrieval,"Covers indexing, dictionaries, retrieval, content and analysis. Roughly includes material in ACM Subject Classes H.3.0, H.3.1, H.3.2, H.3.3, and H.3.4.",4131
nlin.PS,4055,Physics,Pattern Formation and Solitons,"pattern formation, coherent structures, solitons",4055
cs.NE,3943,Computer Science,Neural and Evolutionary Computing,"Covers neural networks, connectionism, genetic algorithms, artificial life, adaptive behavior. Roughly includes some material in ACM Subject Class C.1.3, I.2.6, I.5.",3943
physics.class-ph,3927,Physics,Classical Physics,"Newtonian and relativistic dynamics; many particle systems; planetary motions; chaos in classical dynamics. Maxwell's  equations and  dynamics of charged systems and  electromagnetic forces in materials. Vibrating systems such as membranes and cantilevers; optomechanics. Classical waves, including acoustics and elasticity; physics of music and musical instruments. Classical thermodynamics and  heat flow problems.",3927
physics.data-an,3814,Physics,"Data Analysis, Statistics and Probability","Methods, software and hardware for physics data analysis: data processing and storage; measurement methodology; statistical and mathematical aspects such as parametrization and uncertainties.",3814
math.SG,3681,Mathematics,Symplectic Geometry,"Hamiltonian systems, symplectic flows, classical integrable systems",3681
cs.DB,3676,Computer Science,Databases,"Covers database management, datamining, and data processing. Roughly includes material in ACM Subject Classes E.2, E.5, H.0, H.2, and J.1.",3676
math.SP,3650,Mathematics,Spectral Theory,"Schrodinger operators, operators on manifolds, general differential operators, numerical studies, integral operators, discrete models, resonances, non-self-adjoint operators, random operators/matrices",3650
cs.CG,3537,Computer Science,Computational Geometry,Roughly includes material in ACM Subject Classes I.3.5 and F.2.2.,3537
q-bio.BM,3464,Quantitative Biology,Biomolecules,"DNA, RNA, proteins, lipids, etc.; molecular structures and folding kinetics; molecular interactions; single-molecule manipulation.",3464
cs.HC,3452,Computer Science,Human-Computer Interaction,"Covers human factors, user interfaces, and collaborative computing. Roughly includes material in ACM Subject Classes H.1.2 and all of H.5, except for H.5.1, which is more likely to have Multimedia as the primary subject area.",3452
stat.CO,3360,Statistics,Computation,"Algorithms, Simulation, Visualization",3360
nlin.AO,3240,Physics,Adaptation and Self-Organizing Systems,"adaptation, self-organizing systems, statistical physics, fluctuating systems, stochastic processes, interacting particle systems, machine learning",3240
cs.PL,3048,Computer Science,Programming Languages,"Covers programming language semantics, language features, programming approaches (such as object-oriented programming, functional programming, logic programming). Also includes material on compilers oriented towards programming languages; other material on compilers may be more appropriate in Architecture (AR). Roughly includes material in ACM Subject Classes D.1 and D.3.",3048
math.CT,3025,Mathematics,Category Theory,"Enriched categories, topoi, abelian categories, monoidal categories, homological algebra",3025
eess.AS,2906,Electrical Engineering and Systems Science,Audio and Speech Processing,"Theory and methods for processing signals representing audio, speech, and language, and their applications. This includes analysis, synthesis, enhancement, transformation, classification and interpretation of such signals as well as the design, development, and evaluation of associated signal processing systems. Machine learning and pattern analysis applied to any of the above areas is also welcome.  Specific topics of interest include: auditory modeling and hearing aids; acoustic beamforming and source localization; classification of acoustic scenes; speaker separation; active noise control and echo cancellation; enhancement; de-reverberation; bioacoustics; music signals analysis, synthesis and modification; music information retrieval;  audio for multimedia and joint audio-video processing; spoken and written language modeling, segmentation, tagging, parsing, understanding, and translation; text mining; speech production, perception, and psychoacoustics; speech analysis, synthesis, and perceptual modeling and coding; robust speech recognition; speaker recognition and characterization; deep learning, online learning, and graphical models applied to speech, audio, and language signals; and implementation aspects ranging from system architecture to fast algorithms.",2906
eess.SY,2845,Electrical Engineering and Systems Science,Systems and Control,"This section includes theoretical and experimental research covering all facets of automatic control systems. The section is focused on methods of control system analysis and design using tools of modeling, simulation and optimization. Specific areas of research include nonlinear, distributed, adaptive, stochastic and robust control in addition to hybrid and discrete event systems. Application areas include automotive and aerospace control systems, network control, biological systems, multiagent and cooperative control, robotics, reinforcement learning, sensor networks, control of cyber-physical and energy-related systems, and control of computing systems.",2845
physics.med-ph,2797,Physics,Medical Physics,"Radiation therapy. Radiation dosimetry. Biomedical imaging modelling.  Reconstruction, processing, and analysis. Biomedical system modelling and analysis. Health physics. New imaging or therapy modalities.",2797
cs.CE,2775,Computer Science,"Computational Engineering, Finance, and Science","Covers applications of computer science to the mathematical modeling of complex systems in the fields of science, engineering, and finance. Papers here are interdisciplinary and applications-oriented, focusing on techniques and tools that enable challenging computational simulations to be performed, for which the use of supercomputers or distributed computing platforms is often required. Includes material in ACM Subject Classes J.2, J.3, and J.4 (economics).",2775
math.GM,2587,Mathematics,General Mathematics,"Mathematical material of general interest, topics not covered elsewhere",2587
physics.geo-ph,2518,Physics,Geophysics,Atmospheric physics. Biogeosciences. Computational geophysics. Geographic location. Geoinformatics. Geophysical techniques. Hydrospheric geophysics. Magnetospheric physics. Mathematical geophysics. Planetology. Solar system. Solid earth geophysics. Space plasma physics. Mineral physics. High pressure physics.,2518
cs.DL,2469,Computer Science,Digital Libraries,"Covers all aspects of the digital library design and document and text creation. Note that there will be some overlap with Information Retrieval (which is a separate subject area). Roughly includes material in ACM Subject Classes H.3.5, H.3.6, H.3.7, I.7.",2469
q-bio.MN,2410,Quantitative Biology,Molecular Networks,"Gene regulation, signal transduction, proteomics, metabolomics, gene and enzymatic networks",2410
math.GN,2390,Mathematics,General Topology,"Continuum theory, point-set topology, spaces with algebraic structure, foundations, dimension theory, local and global properties",2390
physics.ao-ph,2310,Physics,Atmospheric and Oceanic Physics,"Atmospheric and oceanic physics and physical chemistry, biogeophysics, and climate science",2310
physics.hist-ph,2308,Physics,History and Philosophy of Physics,"History and philosophy of all branches of physics, astrophysics, and cosmology, including appreciations of physicists.",2308
math.HO,2145,Mathematics,History and Overview,"Biographies, philosophy of mathematics, mathematics education, recreational mathematics, communication of mathematics, ethics in mathematics",2145
chao-dyn,2139,,,,2139
cs.SD,2134,Computer Science,Sound,"Covers all aspects of computing with sound, and sound as an information channel. Includes models of sound, analysis and synthesis, audio user interfaces, sonification of data, computer music, and sound signal processing. Includes ACM Subject Class H.5.5, and intersects with H.1.2, H.5.1, H.5.2, I.2.7, I.5.4, I.6.3, J.5, K.4.2.",2134
physics.ed-ph,2097,Physics,Physics Education,"Report of results of a research study, laboratory experience, assessment or classroom practice that represents a way to improve teaching and learning in physics. Also, report on misconceptions of students, textbook errors, and other similar information relative to promoting physics understanding.",2097
cs.FL,2081,Computer Science,Formal Languages and Automata Theory,"Covers automata theory, formal language theory, grammars, and combinatorics on words. This roughly corresponds to ACM Subject Classes F.1.1, and F.4.3. Papers dealing with computational complexity should go to cs.CC; papers dealing with logic should go to cs.LO.",2081
math.KT,2047,Mathematics,K-Theory and Homology,"Algebraic and topological K-theory, relations with topology, commutative algebra, and operator algebras",2047
q-fin.ST,2030,Quantitative Finance,Statistical Finance,"Statistical, econometric and econophysics analyses with applications to financial markets and economic data",2030
cs.OH,1873,Computer Science,Other Computer Science,This is the classification to use for documents that do not fit anywhere else.,1873
q-fin.GN,1721,Quantitative Finance,General Finance,Development of general quantitative methodologies with applications in finance,1721
q-bio.GN,1670,Quantitative Biology,Genomics,"DNA sequencing and assembly; gene and motif finding; RNA editing and alternative splicing; genomic structure and processes (replication, transcription, methylation, etc); mutational processes.",1670
physics.space-ph,1520,Physics,Space Physics,"Space plasma physics. Heliophysics. Space weather. Planetary magnetospheres, ionospheres and magnetotail. Auroras. Interplanetary space. Cosmic rays. Synchrotron radiation. Radio astronomy.",1520
cs.ET,1506,Computer Science,Emerging Technologies,"Covers approaches to information processing (computing, communication, sensing) and bio-chemical analysis based on alternatives to silicon CMOS-based technologies, such as nanoscale electronic, photonic, spin-based, superconducting, mechanical, bio-chemical and quantum technologies (this list is not exclusive). Topics of interest include (1) building blocks for emerging technologies, their scalability and adoption in larger systems, including integration with traditional technologies, (2) modeling, design and optimization of novel devices and systems, (3) models of computation, algorithm design and programming for emerging technologies.",1506
cs.MA,1491,Computer Science,Multiagent Systems,"Covers multiagent systems, distributed artificial intelligence, intelligent agents, coordinated interactions. and practical applications. Roughly covers ACM Subject Class I.2.11.",1491
q-alg,1404,,,,1404
alg-geom,1358,,,,1358
q-bio.CB,1347,Quantitative Biology,Cell Behavior,Cell-cell signaling and interaction; morphogenesis and development; apoptosis; bacterial conjugation; viral-host interaction; immunology,1347
cs.MM,1288,Computer Science,Multimedia,Roughly includes material in ACM Subject Class H.5.1.,1288
